"employee_id","department_name","gender","job_title"
29474,PRODUCTION,male,
29478,PRODUCTION,male,
29479,PRODUCTION,male,
47524,,,
29490,PRODUCTION,male,
29491,PRODUCTION,male,
29480,PRODUCTION,male,
47525,,,
47526,,,
47527,,,
29482,PRODUCTION,male,
29483,PRODUCTION,male,
29484,PRODUCTION,male,
29485,PRODUCTION,male,
29486,PRODUCTION,male,
29487,PRODUCTION,male,
29488,PRODUCTION,male,
29489,PRODUCTION,male,
1628,STORE,male,
1597,ASSEMBLY,male,
1599,ASSEMBLY,male,
1600,ASSEMBLY,male,
29492,PRODUCTION,male,
29493,PRODUCTION,male,
29494,PRODUCTION,male,
29495,PRODUCTION,male,
29496,PRODUCTION,male,
3509,QUALITY,male,
3510,ASSEMBLY,male,
3511,MOULDING,female,
3513,SURFACE TREATMENT,male,
3514,SURFACE TREATMENT,male,
3515,ASSEMBLY,male,
3516,SURFACE TREATMENT,male,
3517,MOULDING,female,
3518,MOULDING,female,
3519,MOULDING,male,
3520,MOULDING,male,
3521,MOULDING,male,
29497,PRODUCTION,male,
29498,PRODUCTION,male,
29499,PRODUCTION,male,
29500,PRODUCTION,male,
29501,PRODUCTION,male,
29502,PRODUCTION,male,
29503,PRODUCTION,male,
29504,PRODUCTION,male,
29505,PRODUCTION,male,
29506,PRODUCTION,male,
29507,PRODUCTION,male,
29519,PRODUCTION,male,
29521,PRODUCTION,male,
29509,PRODUCTION,male,
29510,PRODUCTION,male,
29514,PRODUCTION,male,
29515,PRODUCTION,male,
29517,PRODUCTION,male,
1601,ASSEMBLY,female,
1602,ASSEMBLY,female,
1603,ASSEMBLY,female,
1604,ASSEMBLY,female,
1605,ASSEMBLY,female,
1606,ASSEMBLY,male,
1607,ASSEMBLY,male,
1608,ASSEMBLY,male,
9569,,male,
29508,PRODUCTION,male,
29513,PRODUCTION,male,
29516,PRODUCTION,male,
47528,,,
47530,,,
47532,,,
47533,,,
47534,,,
47535,,,
9557,STORE,male,OPERATOR
9617,ASSEMBLY,male,
9558,ASSEMBLY,female,
9559,ASSEMBLY,male,
9560,SURFACE TREATMENT,male,
9561,STORE,male,
9562,DISPATCH,male,
9563,ASSEMBLY,female,
9564,ASSEMBLY,female,
9565,ASSEMBLY,female,
9567,DISPATCH,male,
9568,DISPATCH,male,
47529,,,
47531,,,
12111,PRODUCTION,male,STORE HELPER
29550,Administration,,
9570,DISPATCH,male,
9572,ASSEMBLY,male,
9574,STORE,male,
9575,ASSEMBLY,male,
9576,ASSEMBLY,male,
9577,ASSEMBLY,female,
9578,ASSEMBLY,female,
3547,ASSEMBLY,female,
3548,ASSEMBLY,male,
3542,ASSEMBLY,male,
3544,ASSEMBLY,female,
3545,ASSEMBLY,female,
3546,SURFACE TREATMENT,male,
3489,MOULDING,female,
3490,MOULDING,female,
3491,TOOL ROOM,female,
3492,ASSEMBLY,female,
9579,ASSEMBLY,female,
9580,ASSEMBLY,female,
9581,ASSEMBLY,male,
9582,DISPATCH,male,
9583,STORE,male,
9571,DISPATCH,male,
3488,MOULDING,female,
9584,STORE,male,
9585,ASSEMBLY,female,
9586,ASSEMBLY,male,
9587,ASSEMBLY,male,
9588,ASSEMBLY,male,
9589,ASSEMBLY,male,
9590,ASSEMBLY,female,
9591,ASSEMBLY,female,
9592,DISPATCH,male,
9593,DISPATCH,male,
9595,DISPATCH,male,
9596,ASSEMBLY,male,
9597,ASSEMBLY,male,
9598,ASSEMBLY,male,
9599,ASSEMBLY,male,
9601,ASSEMBLY,female,
9602,ASSEMBLY,male,
